WORD,LENGTH,FREQUENCY,POS,CONCRETENESS,IMAGEABILITY,PICTURE
apartment,9,83.04,NN,575,556,NO
blanket,7,12.98,NN,622,582,NO
truck,5,72.86,NN|VB,595,621,NO
clay,4,12,NN,606,575,NO
channel,7,24.41,NN|VB,527,508,NO
maiden,6,5.53,NN,545,554,NO
brush,5,14.16,NN|VB,589,570,NO
bite,4,40.78,NN|VB,509,553,NO
poster,6,5.98,NN,592,600,NO
pond,4,6.33,NN,623,599,NO
suit,4,68.61,NN|VB,545,536,NO
sting,5,7.02,NN|VB,509,553,NO
priest,6,26.2,NN,561,568,NO
policeman,9,11.73,NN,574,629,NO
salt,4,19.51,NN|VB,594,570,NO
messenger,9,8.06,NN,527,505,NO
orchestra,9,5.51,NN,578,619,NO
palace,6,19.2,NN,579,612,NO
powder,6,16.04,NN|VB,513,524,NO
mechanic,8,5.06,NN|JJ,580,530,NO
morgue,6,8.63,NN,572,589,NO
chapel,6,7.96,NN,587,560,NO
market,6,36.24,NN|VB,551,583,NO
factory,7,16.8,NN,586,608,NO
tape,4,68.84,NN|VB,564,573,YES
bomb,4,53.65,NN|VB,595,606,NO
gentleman,9,41.86,NN,516,559,NO
court,5,100.73,NN|VB,509,552,NO
racket,6,7.43,NN,562,530,NO
dove,4,5.57,NN,588,616,NO
lieutenant,10,104.04,NN,560,512,NO
garden,6,26.55,NN|VB,602,635,NO
butcher,7,8.51,NN|VB,556,596,NO
copper,6,6.59,NN|JJ,547,548,NO
trail,5,19.2,NN|VB,511,525,NO
chest,5,40.98,NN,580,556,NO
dummy,5,9.8,NN|JJ,551,562,NO
page,4,37.49,NN|VB,571,555,NO
coast,5,26.69,NN|VB,562,588,NO
circle,6,21.51,NN|VB,515,591,NO
storm,5,30.86,NN|VB,527,587,NO
menu,4,9.96,NN,555,613,NO
shop,4,53.55,NN|VB,549,561,NO
guard,5,58.2,NN|VB,517,530,NO
bean,4,6.84,NN,604,538,NO
shepherd,8,7.43,NN|VB,598,600,NO
drain,5,8.63,NN|VB,591,540,NO
metal,5,19.45,NN,582,541,NO
passage,7,7.65,NN,558,525,NO
steel,5,18.45,NN|VB,586,534,NO
admiral,7,16.57,NN,528,543,NO
cream,5,48.71,NN|VB,621,557,NO
feast,5,6.71,NN|VB,542,610,NO
palm,4,13.24,NN|VB,596,555,NO
spaghetti,9,5.92,NN,-,-,NO
siren,5,6.55,NN|JJ,538,578,NO
ceiling,7,8.35,NN,606,557,NO
uniform,7,24.82,NN|JJ,550,591,NO
smoke,5,65.43,NN|VB,541,615,NO
horn,4,21.08,NN,618,566,NO
pocket,6,35.71,NN|VB,578,558,NO
hair,4,153.55,NN,583,580,NO
rash,4,8.04,NN,523,520,NO
bird,4,45.45,NN,602,614,NO
glass,5,60.71,NN,635,585,NO
steam,5,13.45,NN|VB,552,591,NO
fort,4,15.43,NN,580,559,NO
building,8,99.57,NN|VB,589,578,NO
bourbon,7,6.25,NN,570,606,NO
beast,5,24.55,NN,564,558,NO
park,4,72.12,NN|VB,579,573,NO
music,5,151.65,NN,512,549,NO
ranch,5,17.55,NN,561,519,NO
leather,7,13.59,NN,575,586,NO
aunt,4,55.2,NN,564,567,NO
pork,4,10.53,NN,585,522,NO
shore,5,19.86,NN|VB,574,624,NO
sack,4,12.92,NN|VB,582,548,NO
spray,5,9.65,NN|VB,514,559,NO
blouse,6,5.33,NN,640,595,NO
frame,5,14.1,NN|VB,562,508,NO
ferry,5,5.35,NN|VB,580,592,NO
station,7,79.08,NN|VB,572,554,NO
beam,4,8.73,NN|VB,502,539,NO
tower,5,22.84,NN|VB,585,596,NO
portrait,8,5.43,NN,570,565,NO
dame,4,13.76,NN,528,530,NO
bank,4,84.98,NN|VB,573,560,NO
film,4,65.25,NN|VB,604,562,NO
card,4,85.43,NN,565,578,NO
breast,6,8.96,NN|VB,580,597,NO
bridge,6,45.71,NN|VB,623,608,NO
willow,6,6.24,NN|VB,589,565,NO
club,4,98.78,NN|VB,509,522,NO
blade,5,13,NN,584,568,NO
deck,4,23.76,NN|VB,566,539,NO
planet,6,38.73,NN,523,578,NO
canal,5,6.39,NN,598,588,NO
bloom,5,5.51,NN|VB,520,524,NO
sponge,6,6.71,NN,597,577,NO
carpet,6,11.65,NN|VB,581,538,NO
wedding,7,101.43,NN|VB,509,594,NO
ditch,5,7.86,NN|VB,555,558,NO
flood,5,5.71,NN|VB,553,598,NO
queen,5,54.69,NN,537,612,NO
string,6,12.67,NN|VB,570,556,NO
crowd,5,37.37,NN|VB,546,548,NO
cart,4,9.04,NN|VB,576,597,NO
radio,5,77.18,NN|VB,615,613,NO
knight,6,26.76,NN|VB,579,608,NO
boss,4,124.29,NN|VB,552,554,NO
library,7,22.94,NN,564,587,NO
ridge,5,7.08,NN,547,543,NO
beach,5,56.63,NN,612,667,NO
lawyer,6,79.51,NN,569,557,NO
fountain,8,6.9,NN,593,602,NO
ant,3,5.35,NN,604,613,YES
arm,3,65.41,NN,592,593,YES
axe,3,4.88,NN|VB,623,597,YES
bat,3,20.63,NN|VB,564,586,YES
bear,4,54.17,NN,585,572,YES
bed,3,187.12,NN|VB,635,635,YES
bee,3,10.35,NN,597,623,YES
bow,3,20.27,NN,572,546,YES
bus,3,74.18,NN|VB,-,-,YES
castle,6,21.55,NN,-,-,YES
cat,3,66.33,NN,615,617,YES
cloud,5,11.75,NN|VB,554,595,YES
cow,3,25.51,NN|VB,621,632,YES
cup,3,51.65,NN|VB,539,558,YES
dice,4,10.45,NN,-,-,YES
eye,3,111.78,NN|VB,634,603,YES
finger,6,36.67,NN|VB,-,-,YES
fly,3,85,VB|NN,525,582,YES
guitar,6,15.59,NN,-,-,YES
gun,3,213.2,NN|VB,612,613,NO
hand,4,279.65,NN|VB,604,598,YES
hat,3,64.18,NN,601,582,NO
iron,4,17.94,NN,584,561,YES
key,3,86.86,NN,612,618,YES
net,3,15.55,NN|VB,577,540,YES
orange,6,22.31,JJ|NN,601,626,YES
owl,3,5.61,NN,614,595,YES
peanut,6,12.35,NN,-,-,YES
pearl,5,15.67,NN,597,590,YES
pen,3,24.73,NN,571,576,YES
pie,3,28.75,NN,613,604,YES
pumpkin,7,10.84,NN,-,-,YES
scale,5,9.51,NN,475,463,YES
scar,3,32,NN,640,597,YES
screw,5,37.49,NN|VB,-,-,YES
ski,3,8.1,NN|VB,590,615,YES
square,6,31.76,NN|VB|JJ,516,610,YES
sun,3,69.67,NN|VB,617,639,NO
tea,3,58.63,NN,609,599,YES
toe,3,12.69,NN|VB,607,620,YES
barn,4,13.59,NN,614,589,YES
bone,4,26.06,NN,588,567,YES
bucket,6,10.02,NN|VB,594,586,YES
clown,5,15.82,NN,627,589,YES
gold,4,74.94,NN,576,594,YES
mail,4,36.84,NN|VB,508,548,NO
mustard,7,6.45,NN,595,599,YES
paint,5,36.8,NN,577,567,YES
pepper,6,8.8,NN,591,687,YES
sugar,5,37.76,NN,620,595,YES
soap,4,15.2,NN|VB,598,600,YES
wood,4,27,NN,-,-,YES
briefcase,9,8.59,NN,-,-,YES
ear,3,32,NN,-,-,YES
